pair1,pair2,cos_image_before_normalization,rho_image_before_normalization,cos_image_after_normalization,rho_image_after_normalization,cos_text_before_normalization,rho_text_before_normalization,cos_text_after_normalization,rho_text_after_normalization,w2v_cos_text_before_normalization,w2v_rho_text_before_normalization,w2v_cos_text_after_normalization,w2v_rho_text_after_normalization,w2v_diff_cos_before_normalization,w2v_diff_rho_before_normalization,w2v_diff_cos_after_normalization,w2v_diff_rho_after_normalization,w2v_text_diff_cos_before_normalization,w2v_text_diff_rho_before_normalization,w2v_text_diff_cos_after_normalization,w2v_text_diff_rho_after_normalization
fire:cold,rainbow:monochromatic,45.42802429,0.29608607,43.64512634,0.303778049,42.33934784,0.226195036,39.90643311,0.229222636,73.37354279,0.299435524,73.55008698,0.296414866,-27.9455185,-0.0033494540000000295,-29.904960640000006,0.007363182999999995,31.03419495,0.07324048800000002,33.64365387,0.06719222999999999
laugh:happiness,nod:agreement,56.8880806,0.159628345,52.4777832,0.177363446,33.30144119,0.105519131,35.33288956,0.084601755,85.79481506,0.020921978,85.59163666,0.026145714,-28.906734460000003,0.138706367,-33.11385346000001,0.151217732,52.493373870000006,-0.08459715300000001,50.25874710000001,-0.058456041
retiree:job,widow:husband,55.33906555,0.138673685,58.91231537,0.092623647,38.49468231,0.258109422,38.9353714,0.261203004,73.58057404,0.295862684,70.45670319,0.345404791,-18.24150849,-0.157188999,-11.544387819999997,-0.25278114399999996,35.08589173,0.03775326200000001,31.521331789999998,0.08420178699999997
unstable:fall,fragile:break,39.73169708,0.445960256,40.68778229,0.454261009,49.07649612,0.231527293,42.90039444,0.254322307,75.01139069,0.250090696,73.4046936,0.269507316,-35.279693609999995,0.19586956,-32.71691131,0.184753693,25.934894569999997,0.018563403000000006,30.504299160000002,0.015185008999999972
harvesting:farming,stitching:sewing,26.27423286,0.609563918,26.11347008,0.611164487,31.79737282,0.595931896,31.01933479,0.606126832,60.14974594,0.498237693,60.69517136,0.491769369,-33.875513080000005,0.111326225,-34.581701280000004,0.11939511800000002,28.352373120000003,-0.09769420299999998,29.675836570000005,-0.11435746299999994
botany:plants,mathematics:numbers,29.96437836,0.550025267,32.88028336,0.523934515,28.84194946,0.459060483,30.87501717,0.434723098,80.10831451,0.145992813,80.06513214,0.143743283,-50.14393615,0.404032454,-47.18484878,0.380191232,51.266365050000005,-0.31306767,49.19011497,-0.290979815
millionaire:wealth,coward:fear,27.7526989,0.556828,27.37748718,0.565064649,29.89332771,0.289856616,30.74732971,0.281993779,75.8114624,0.240772902,76.19493866,0.232527891,-48.0587635,0.316055098,-48.81745148,0.332536758,45.918134689999995,-0.049083714,45.44760895,-0.04946588800000001
library:books,school:student,37.29446793,0.371889967,39.19684601,0.34092616,27.2778492,0.325672468,30.2211895,0.256240541,72.08293152,0.333712932,69.42051697,0.369183999,-34.78846359,0.03817703499999997,-30.223670959999993,-0.028257839000000007,44.805082320000004,0.008040464000000025,39.19932746999999,0.112943458
consume:edible,eat:edible,15.70612431,0.894604519,14.75399113,0.903529693,24.28477287,0.7519143,23.95951843,0.760837328,37.88893127,0.745517706,38.65374374,0.736104562,-22.18280696,0.14908681300000004,-23.899752610000004,0.167425131,13.6041584,-0.006396594000000033,14.694225310000004,-0.024732766000000073
hot:cold,big:small,39.83567047,0.440743071,41.29257965,0.437002895,29.62723732,0.413118001,28.70191002,0.421911657,69.73622894,0.33553863,67.38555145,0.367469108,-29.900558470000007,0.10520444099999998,-26.092971799999994,0.06953378700000001,40.108991620000005,-0.07757937100000001,38.683641429999994,-0.05444254900000001
omelette:eggs,ocean:water,37.14728165,0.446193609,38.33985519,0.435221544,38.04408264,0.354850901,39.09280014,0.348776836,68.37316132,0.336165942,66.56723022,0.365107098,-31.225879669999998,0.110027667,-28.227375029999997,0.070114446,30.329078679999995,-0.018684959,27.474430079999998,0.01633026200000004
mask:face,makeup:blemish,42.1138649,0.473597217,41.98731232,0.474449895,36.18183899,0.258996163,38.00389481,0.24116781,81.12308502,0.156561315,80.31310272,0.166247881,-39.00922012,0.317035902,-38.3257904,0.308202014,44.94124603,-0.102434848,42.309207910000005,-0.07491992900000002
forward:backward,top:bottom,43.72625732,0.373091065,38.25122833,0.408682236,30.37442207,0.467859503,30.66812706,0.462042932,71.14152527,0.323786655,69.39432526,0.352469156,-27.41526795,0.04930441000000002,-31.14309693,0.05621307999999997,40.7671032,-0.14407284800000003,38.7261982,-0.10957377600000001
fragile:damaged,elastic:stretched,46.37435532,0.278971455,43.5494194,0.298689879,35.1868782,0.340628344,36.26597977,0.335645943,72.53640747,0.285001115,73.71330261,0.268567246,-26.16205215,-0.006029660000000048,-30.16388321,0.03012263300000001,37.34952927,-0.055627229,37.44732284,-0.06707869700000002
arrhythmia:heartbeat,pimple:skin,28.47120476,0.571374659,32.12124252,0.54677245,38.79469299,0.312475413,37.90278625,0.31842234,73.78438568,0.274683789,71.44558716,0.312645565,-45.31318092,0.29669086999999994,-39.32434464,0.23412688499999995,34.98969269,-0.03779162399999997,33.542800910000004,-0.005776775000000012
library:book,casino:cards,31.68123817,0.566451267,33.92757797,0.554486334,36.22769165,0.332861084,37.6291275,0.325786284,79.9050293,0.195771198,80.01633453,0.189910975,-48.223791129999995,0.37068006900000006,-46.08875655999999,0.36457535900000004,43.67733765,-0.13708988599999997,42.38720702999999,-0.13587530899999997
script:movie,choreography:performance,56.64520645,0.307668429,55.86728668,0.306974718,34.86143112,0.316564009,35.09701538,0.321598624,77.50499725,0.21065261,78.43114471,0.198863336,-20.8597908,0.09701581900000003,-22.56385803,0.10811138199999998,42.64356613,-0.10591139899999999,43.334129329999996,-0.122735288
ocean:Pacific,planet:Earth,37.99998856,0.690902395,35.37683868,0.710227964,30.06494904,0.443696731,31.28633499,0.427211275,70.36825562,0.344148437,71.16687012,0.330724553,-32.36826706,0.346753958,-35.79003144,0.379503411,40.30330658,-0.09954829400000004,39.88053513,-0.09648672200000002
wash:dirty,fill:empty,49.97711563,0.229799939,43.92061996,0.292025458,31.01965332,0.299138614,33.10214996,0.281754078,70.41101837,0.314786895,70.29161835,0.317040723,-20.433902739999994,-0.084986956,-26.37099838999999,-0.02501526500000001,39.39136504999999,0.015648280999999986,37.189468389999995,0.035286645000000005
hand:finger,egg:yolk,20.89852905,0.818028054,21.08202362,0.818944926,39.402565,0.400559314,37.89594269,0.410365061,60.79679108,0.459354365,63.25808334,0.426989911,-39.89826203,0.358673689,-42.17605972,0.391955015,21.394226079999996,0.05879505099999999,25.36214065,0.016624850000000024
father:mother,mother:father,38.7052803,0.399978793,39.0687561,0.392913559,41.45043945,0.202426103,40.82743835,0.212689615,63.65958405,0.414571788,64.66757965,0.39826255,-24.95430375,-0.014592994999999997,-25.59882354999999,-0.00534899099999997,22.209144600000002,0.212145685,23.840141299999992,0.185572935
life:biography,achievement:trophy,43.53741074,0.463896882,40.76226044,0.441057517,34.88437271,0.354903115,32.56281281,0.362086455,78.41039276,0.182722005,78.63652802,0.183392388,-34.872982019999995,0.281174877,-37.87426758,0.25766512900000005,43.52602004999999,-0.17218111,46.07371521,-0.17869406699999998
fragile:unbreakable,lazy:productive,54.70637512,0.253307713,55.95427322,0.241524187,30.57430077,0.324213967,33.89037323,0.30272349,78.41847992,0.178614787,78.22270966,0.170032947,-23.7121048,0.07469292599999999,-22.26843644000001,0.07149124000000001,47.844179149999995,-0.14559918,44.332336430000005,-0.132690543
acceleration:speed,dim:light,25.73564339,0.661296417,32.66074371,0.590389179,30.5466423,0.38009264,31.66869926,0.369898061,67.81163025,0.348409458,67.6164856,0.35163568,-42.07598685999999,0.31288695899999996,-34.955741890000006,0.23875349899999998,37.26498794999999,-0.031683181999999976,35.94778634000001,-0.018262380999999994
fire:hot,villain:evil,62.9217186,0.153081941,48.57906723,0.250893984,34.14387131,0.377559731,32.323452,0.401055525,70.7072525,0.320886931,72.08295441,0.297827318,-7.785533899999997,-0.16780499,-23.50388718,-0.04693333399999999,36.563381189999994,-0.05667280000000002,39.759502409999996,-0.10322820700000002
day:evening,good:wrong,41.30447006,0.326085888,39.6613121,0.341842853,30.84308243,0.178041422,32.5137558,0.162388706,75.73290253,0.240274805,76.73537445,0.223393772,-34.428432470000004,0.08581108299999998,-37.07406234999999,0.11844908100000001,44.88982010000001,0.062233383,44.221618649999996,0.061005066
road:highway,pain:agony,51.91306305,0.235014709,48.86268997,0.27012183,26.13969803,0.410439895,27.13601112,0.395574678,62.61563873,0.409479997,63.31664658,0.398657755,-10.702575680000002,-0.174465288,-14.453956609999999,-0.128535925,36.475940699999995,-0.0009598980000000146,36.18063546,0.0030830769999999896
deceased:alive,employed:jobless,41.193573,0.420592989,47.07551575,0.368800676,37.50643539,0.208252599,33.70755005,0.226874889,82.24907684,0.127684128,82.04911041,0.130709009,-41.05550384,0.29290886099999996,-34.973594659999996,0.238091667,44.74264145,-0.080568471,48.341560359999995,-0.09616588000000001
school:students,zoo:animal,36.1642189,0.574007883,36.26819611,0.595392323,36.94845963,0.399893409,34.19202042,0.423129742,65.7245636,0.397827546,67.67192078,0.36903543,-29.560344699999995,0.17618033700000008,-31.403724669999995,0.226356893,28.776103969999994,-0.002065863000000001,33.479900359999995,-0.05409431199999998
sprint:fast,crying:emotional,37.53536224,0.431149846,43.24726486,0.360825902,24.22138786,0.406684788,27.38447571,0.37049861,80.78383636,0.147144119,81.06492615,0.152918036,-43.24847412,0.28400572700000004,-37.817661290000004,0.20790786599999997,56.562448499999995,-0.25954066900000006,53.68045044,-0.217580574
slavery:freedom,depression:joy,39.26824188,0.395608921,42.86019516,0.365713889,43.00408173,0.140790046,43.46232605,0.13898232,77.8348999,0.208315134,75.94205475,0.237245363,-38.56665802,0.187293787,-33.08185958999999,0.12846852600000003,34.83081816999999,0.06752508800000001,32.479728699999995,0.098263043
sword:knife,ladder:stairs,42.37399673,0.297079296,42.82513809,0.290508574,37.80378723,0.406446696,37.29553604,0.423385715,71.2412796,0.337313033,71.62762451,0.328624737,-28.867282869999997,-0.04023373699999999,-28.80248642,-0.03811616299999998,33.43749237,-0.06913366300000001,34.33208847,-0.094760978
tool:hammer,tool:screwdriver,27.56753349,0.724984729,27.56751823,0.724984729,33.06506729,0.379569697,33.06506729,0.379569697,67.47161102,0.400623345,67.47161102,0.400599722,-39.904077529999995,0.324361384,-39.90409278999999,0.324385007,34.406543729999996,0.021053648000000036,34.406543729999996,0.021030025000000008
girl:woman,baby:adult,36.07929611,0.345220571,37.55042267,0.318353944,37.06333542,0.186185355,37.49685287,0.183003885,80.1770401,0.17404078,79.4407196,0.18680269,-44.09774399,0.17117979099999997,-41.89029692999999,0.131551254,43.11370468,-0.01214457499999999,41.943866729999996,0.0037988049999999884
hot:cold,full:empty,44.60487747,0.3049078,46.74537277,0.29360001,35.1916008,0.262625564,34.99650192,0.266939287,79.52502441,0.192066239,78.83893585,0.19456953,-34.92014694,0.112841561,-32.093563079999996,0.09903048000000003,44.33342361,-0.07055932499999998,43.84243393,-0.07236975700000003
freezing:warm,gigantic:short,45.93132019,0.237190615,48.46238708,0.217717167,40.01467514,0.265793265,40.44065857,0.259775795,85.54504395,0.050905342,84.79682159,0.066241186,-39.61372375999999,0.186285273,-36.334434509999994,0.15147598099999998,45.53036880999999,-0.214887923,44.35616302,-0.19353460899999997
heart:beat,fire:burn,27.5521431,0.710196939,26.62626076,0.712499088,28.38874817,0.406226754,30.02985573,0.387184696,75.81314087,0.249830331,76.28379059,0.240733381,-48.26099777,0.46036660800000007,-49.657529829999994,0.471765707,47.4243927,-0.15639642300000003,46.253934859999994,-0.146451315
army:soldiers,library:books,30.8650856,0.667150807,31.68481445,0.664610746,33.56552124,0.458083172,31.99264145,0.473039941,65.76696777,0.415180855,65.70513916,0.416777678,-34.90188216999999,0.25196995199999994,-34.02032471,0.24783306800000005,32.20144652999999,-0.04290231699999997,33.71249771,-0.056262263000000035
discipline:abuse,discard:litter,45.22825623,0.291535774,43.95144653,0.307615858,39.29660034,0.196304385,40.33514023,0.198579264,76.62239838,0.21313009,76.86829376,0.211143087,-31.394142150000008,0.07840568400000003,-32.91684723,0.09647277100000001,37.32579804000001,0.016825704999999996,36.53315353,0.012563823000000002
snacks:chips,cutlery:forks,34.61309052,0.628873482,36.02168274,0.610590045,39.5311203,0.494457999,36.97501373,0.513475469,68.02661896,0.328900485,68.96770477,0.311230071,-33.41352843999999,0.299972997,-32.946022029999995,0.29935997400000003,28.495498659999996,-0.16555751399999996,31.992691039999997,-0.20224539799999997
fruit:apple,furniture:chair,29.68010521,0.643518846,29.73065567,0.6482459,38.90873718,0.364024895,40.12627029,0.352236631,77.75803375,0.201286955,77.57972717,0.204379669,-48.077928539999995,0.442231891,-47.849071499999994,0.443866231,38.84929656999999,-0.16273794000000003,37.45345688,-0.147856962
hotel:lobby,hill:top,27.10984612,0.678267623,29.90943336,0.652251973,40.18146515,0.369205691,38.76358032,0.379221992,86.30512238,0.026085358,86.27117157,0.028432702,-59.19527626,0.652182265,-56.361738210000006,0.623819271,46.12365723,-0.343120333,47.507591250000004,-0.35078929000000003
